obj_id,type
ZTF18aaraifg,Cataclysmic
ZTF18aarasof,SN IIn
ZTF18aarbaba,SN Ia
ZTF18aarbgdn,SN Ia
ZTF18aarbgrh,AGN
ZTF18aarbify,SN Ia
ZTF18aarcygc,SN Ia
ZTF18aarcypa,SN Ia
ZTF18aardpmx,AGN
ZTF18aarhaog,AGN
ZTF18aarikzk,SN Ia
ZTF18aaripcr,SN Ia
ZTF18aarlpzd,SN Ib
ZTF18aarlukc,SN Ia
ZTF18aarnbhk,SN Ia
ZTF18aaroihe,SN Ia
ZTF18aarrwmi,AGN
ZTF18aarszsc,AGN
ZTF18aartimj,SN IIP
ZTF18aartjmf,SN Ia
ZTF18aarunub,SN Ia
ZTF18aarwxum,SN Ia
ZTF18aarxzmv,SN Ia
ZTF18aasdted,SN Ia
ZTF18aaslhxt,SN Ia
ZTF18aaspova,AGN
ZTF18aasprui,SN Ia
ZTF18aasszwr,AGN
ZTF18aasuray,AGN
ZTF18aasxahh,AGN
ZTF18aasxvsg,SN IIP
ZTF18aasxwhv,SN Ia
ZTF18aasycak,SN Ia
ZTF18aasycpd,SN IIb
ZTF18aaszvfn,SN II
ZTF18aataafd,SN Ia
ZTF18aatezaj,SN Ia
ZTF18aatgdph,SN Ia
ZTF18aatiffa,SN Ia
ZTF18aatiudp,SN Ia
ZTF18aatjfoe,SN Ia
ZTF18aatjlhe,SN IIP
ZTF18aatlfus,SN IIP
ZTF18aatmlsy,SN Ia
ZTF18aatpqxq,SN Ia
ZTF18aatrkga,SN Ia
ZTF18aatrtkc,SN Ia
ZTF18aatwqed,SN Ia
ZTF18aatxsvu,AGN
ZTF18aatyqds,SN IIP
ZTF18aatzygk,SN Ia
ZTF18aauenwu,SN IIn
ZTF18aauhley,AGN
ZTF18aauhxce,SN Ia
ZTF18aauizcr,SN Ia
ZTF18aaunfqq,SN Ia
ZTF18aaupmks,SN Ia
ZTF18aauuohe,AGN
ZTF18aauuzmf,SN Ia
ZTF18aauvmnq,SN Ia
ZTF18aauvnhh,SN Ia
ZTF18aauworo,SN Ia
ZTF18aauxltf,SN Ia
ZTF18aauxzle,SN IIP
ZTF18aaviawx,SN Ia
ZTF18aavjnfx,SN Ia
ZTF18aavjoas,Cataclysmic
ZTF18aavnvmp,SN Ia
ZTF18aavnxar,SN Ia
ZTF18aavohdq,AGN
ZTF18aavoyoq,Cataclysmic
ZTF18aavqadc,AGN
ZTF18aavqdyq,SN IIP
ZTF18aavrwhu,SN Ia
ZTF18aavryhc,SN Ia
ZTF18aavrzxp,SN Ia
ZTF18aavsilo,SN Ia
ZTF18aavskep,SN IIn
ZTF18aavskyg,AGN
ZTF18aavtklk,AGN
ZTF18aavuzhe,SN Ia
ZTF18aavvnzu,SN Ia
ZTF18aawczad,SN Ia
ZTF18aawdpnm,SN Ia
ZTF18aawfqax,SN Ia
ZTF18aawglif,SN Ia
ZTF18aawgrxz,SN II
ZTF18aawitry,SN Ia
ZTF18aawjxgs,Cataclysmic
ZTF18aawjywv,SN Ia
ZTF18aawlfnj,SN Ia
ZTF18aawmeiw,SN Ia
ZTF18aawmxdx,SN Ia
ZTF18aawpcel,SN Ia
ZTF18aawpwlf,SN IIP
ZTF18aawqjjj,SN Ia
ZTF18aawrmhl,Cataclysmic
ZTF18aawrmvo,Cataclysmic
ZTF18aawseij,SN Ia
ZTF18aawurud,SN Ia
ZTF18aawuzxa,AGN
ZTF18aawxlxf,SN Ia
ZTF18aawyjjq,SN IIP
ZTF18aawzens,SN Ia
ZTF18aaxavsk,SN Ia
ZTF18aaxcfbt,SN Ia
ZTF18aaxcntm,SN Ia
ZTF18aaxcxih,SN Ia
ZTF18aaxdrjn,SN Ia
ZTF18aaxeoqk,SN Ia
ZTF18aaxgwpl,SN Ia
ZTF18aaxiuyp,SN Ic
ZTF18aaxjuwy,SN IIn
ZTF18aaxkfos,SN Ia
ZTF18aaxkjmm,SN Ia
ZTF18aaxkqgy,SN IIP
ZTF18aaxmhvk,SN Ic
ZTF18aaxmixe,SN Ia
ZTF18aaxnkos,SN Ia
ZTF18aaxnnev,AGN
ZTF18aaxnqjb,SN IIP
ZTF18aaxnrhv,AGN
ZTF18aaxokeg,SN Ia
ZTF18aaxqyki,SN Ia
ZTF18aaxrkqy,AGN
ZTF18aaxryfw,AGN
ZTF18aaxsioa,SN Ia
ZTF18aaxtcdm,SN Ia
ZTF18aaxtmeg,Cataclysmic
ZTF18aaxvpsw,SN Ia
ZTF18aaxwjmp,SN Ia
ZTF18aaxxewy,SN Ia
ZTF18aaxxfah,SN Ia
ZTF18aaxxfgs,SN IIn
ZTF18aaxxyhp,AGN
ZTF18aaxzpyh,AGN
ZTF18aaybfsd,SN Ia
ZTF18aaybtnt,Cataclysmic
ZTF18aaybvhx,AGN
ZTF18aaydbyc,Cataclysmic
ZTF18aaydmkh,SN Ia
ZTF18aaygwqd,SN Ib
ZTF18aayiahw,SN Ia
ZTF18aayidfz,SN Ia
ZTF18aayigdr,AGN
ZTF18aayiono,SN Ia
ZTF18aayiqyq,AGN
ZTF18aayivoq,SN Ia
ZTF18aayivxm,SN Ia
ZTF18aayjvve,SN Ia
ZTF18aayjyub,SN Ia
ZTF18aaylbjm,SN Ia
ZTF18aaylbyr,AGN
ZTF18aaylcgr,AGN
ZTF18aaylcvo,SN Ia
ZTF18aayltmt,AGN
ZTF18aayoxjs,Cataclysmic
ZTF18aayxupv,SN Ia
ZTF18aayyqia,SN Ia
ZTF18aayyxxp,SN IIP
ZTF18aazabmh,SN Ia
ZTF18aazblzy,SN Ia
ZTF18aazcoob,SN Ia
ZTF18aazcuno,AGN
ZTF18aazgfkq,SN Ia
ZTF18aazhkfk,Cataclysmic
ZTF18aazhklh,SN Ib
ZTF18aazhwnh,SN Ia
ZTF18aazijke,SN Ia
ZTF18aazixbw,SN Ia
ZTF18aazjflo,SN II
ZTF18aazjztm,SN Ia
ZTF18aazndjw,Cataclysmic
ZTF18aazppgf,AGN
ZTF18aazrdpr,Cataclysmic
ZTF18aazsabq,SN Ia
ZTF18aazvajy,Cataclysmic
ZTF18aazxthg,SN Ia
ZTF18abadjhx,SN Ia
ZTF18abaeawz,SN Ia
ZTF18abaelhi,SN IIP
ZTF18abajlni,Cataclysmic
ZTF18abakjgq,SN Ia
ZTF18abakunn,SN Ia
ZTF18abavruc,SN Ia
ZTF18abaxlpi,SN Ia
ZTF18abbcyzh,Cataclysmic
ZTF18abbhlxk,AGN
ZTF18abbikrz,SN Ia
ZTF18abbodly,SN Ia
ZTF18abbovuc,SN Ic
ZTF18abbpeqo,SN Ia
ZTF18abbpxik,SN IIP
ZTF18abbpyvk,SN IIP
ZTF18abbqjds,SN Ia
ZTF18abbvsiv,SN Ia
ZTF18abcbwnd,AGN
ZTF18abccqmd,Cataclysmic
ZTF18abcdzyc,SN Ia
ZTF18abceakp,SN IIP
ZTF18abcecfi,SN Ia
ZTF18abcezmh,SN IIP
ZTF18abcfdzu,SN IIn
ZTF18abcflnz,SN Ia
ZTF18abchinz,AGN
ZTF18abcicrq,SN Ia
ZTF18abckujg,SN Ia
ZTF18abckujq,SN Ia
ZTF18abckutn,SN IIP
ZTF18abckxfb,Cataclysmic
ZTF18abcleke,Cataclysmic
ZTF18abcmsux,Cataclysmic
ZTF18abcohew,AGN
ZTF18abcpmwh,SN IIP
ZTF18abcpolh,SN Ia
ZTF18abcptmt,SN IIP
ZTF18abcrtnq,SN Ia
ZTF18abcrxoj,SN Ia
ZTF18abcryxz,SN Ia
ZTF18abcrzfz,SN Ia
ZTF18abcsgvj,SN Ia
ZTF18abcvush,SN Ia
ZTF18abcxyjp,SN Ia
ZTF18abcyhju,SN IIb
ZTF18abcysck,Cataclysmic
ZTF18abcysdx,SN Ia
ZTF18abcyues,SN IIP
ZTF18abcyzif,Cataclysmic
ZTF18abcyzsf,Cataclysmic
ZTF18abdbgza,Cataclysmic
ZTF18abdbuty,SN Ia
ZTF18abdbysy,SN IIP
ZTF18abdcfgz,SN Ia
ZTF18abdcudb,SN Ia
ZTF18abddrhd,SN Ia
ZTF18abdefet,SN Ia
ZTF18abdfaqi,SN Ia
ZTF18abdfazk,SN Ia
ZTF18abdfwcy,SN IIP
ZTF18abdfwur,SN Ia
ZTF18abdfydj,SN Ia
ZTF18abdgwxn,SN Ia
ZTF18abdiqdh,SN Ia
ZTF18abdiwpt,SN Ia
ZTF18abdjmfh,SN IIP
ZTF18abdkimx,SN Ia
ZTF18abdkkwa,SN Ic
ZTF18abdmlya,SN IIb
ZTF18abdnffn,SN Ia
ZTF18abdolfe,SN Ia
ZTF18abdrbqp,SN IIP
ZTF18abdrmin,SN Ia
ZTF18abeaipj,SN Ia
ZTF18abeajml,SN IIP
ZTF18abeamgv,SN Ib
ZTF18abeaytd,Cataclysmic
ZTF18abebzog,SN Ia
ZTF18abecbks,SN Ic
ZTF18abeecwe,SN Ia
ZTF18abeegsl,SN Ia
ZTF18abehrdw,Cataclysmic
ZTF18abespgb,SN Ia
ZTF18abesqnb,SN IIb
ZTF18abetehf,SN Ia
ZTF18abetejo,SN Ia
ZTF18abetewu,SN Ia
ZTF18abeyqpr,SN Ic
ZTF18abfbbyh,SN Ia
ZTF18abfchzq,SN Ia
ZTF18abfcmjw,SN Ib
ZTF18abfdupq,SN Ia
ZTF18abfdxbt,SN Ia
ZTF18abfeyey,SN Ia
ZTF18abffdpa,SN Ia
ZTF18abffyqp,SN IIb
ZTF18abfgtcf,AGN
ZTF18abfgygp,SN Ia
ZTF18abfhaji,SN Ia
ZTF18abfhryc,SN Ia
ZTF18abfsess,Cataclysmic
ZTF18abfwuwn,SN Ia
ZTF18abfzfcv,SN IIb
ZTF18abfzhct,SN Ic
ZTF18abfzixe,SN IIP
ZTF18abgkjff,SN Ia
ZTF18abgladq,SN IIP
ZTF18abgledy,SN Ia
ZTF18abgosbg,SN Ia
ZTF18abgqbsh,AGN
ZTF18abgqkpc,SN Ia
ZTF18abgrbjb,SN IIb
ZTF18abgxvra,SN Ia
ZTF18abgxyfz,Cataclysmic
ZTF18abgzkmf,SN IIP
ZTF18abhbqbh,SN Ia
ZTF18abhdxwz,Cataclysmic
ZTF18abhhxcp,SN Ia
ZTF18abhpyqs,Cataclysmic
ZTF18abhpzig,SN Ia
ZTF18abhqaxd,Cataclysmic
ZTF18abhqcfi,Cataclysmic
ZTF18abhqdpv,SN Ia
ZTF18abhxidv,SN Ia
ZTF18abhxwky,Cataclysmic
ZTF18abiczpm,SN Ia
ZTF18abifioh,SN Ia
ZTF18abiinnl,SN Ia
ZTF18abiiqdl,SN IIP
ZTF18abiirfq,SN Ia
ZTF18abilofa,SN Ia
ZTF18abimhfu,SN IIP
ZTF18abimsyv,SN Ia
ZTF18abixkjh,SN Ia
ZTF18abixrei,SN Ia
ZTF18abiyatb,Cataclysmic
ZTF18abiybfq,SN Ia
ZTF18abjcyha,Cataclysmic
ZTF18abjdnoh,AGN
ZTF18abjgyyr,SN Ia
ZTF18abjgzxw,AGN
ZTF18abjhbss,AGN
ZTF18abjijwk,SN Ia
ZTF18abjkryl,SN IIP
ZTF18abjlyib,Cataclysmic
ZTF18abjlyzc,Cataclysmic
ZTF18abjndhh,SN IIP
ZTF18abjovdz,SN IIP
ZTF18abjqaxg,Cataclysmic
ZTF18abjqmqt,SN Ia
ZTF18abjrbza,SN Ic
ZTF18abjrdjs,Cataclysmic
ZTF18abjrdzt,Cataclysmic
ZTF18abjrfqx,SN Ia
ZTF18abjsdwi,Cataclysmic
ZTF18abjsjyx,Cataclysmic
ZTF18abjsrdz,Cataclysmic
ZTF18abjstcm,SN Ia
ZTF18abjsybd,Cataclysmic
ZTF18abjtgdo,SN Ia
ZTF18abjtger,SN Ia
ZTF18abjvhec,SN Ia
ZTF18abjvzxx,SN Ia
ZTF18abjwahi,SN Ia
ZTF18abjyime,SN Ia
ZTF18abjyjdz,SN Ib
ZTF18abjyuoj,SN Ia
ZTF18abjzaic,Cataclysmic
ZTF18abkhbra,SN Ia
ZTF18abkhcrj,SN Ia
ZTF18abkhcwl,SN Ia
ZTF18abkhqhk,Cataclysmic
ZTF18abkifng,SN Ia
ZTF18abkijlr,Cataclysmic
ZTF18abkjnqy,SN Ic
ZTF18abklaoj,SN Ia
ZTF18abklbam,SN IIP
ZTF18abkojhi,AGN
ZTF18abktleu,Cataclysmic
ZTF18abktmfz,SN Ib
ZTF18abktphg,SN Ia
ZTF18abkudjo,SN Ia
ZTF18abkwfxq,AGN
ZTF18abkxfou,Cataclysmic
ZTF18ablerlf,Cataclysmic
ZTF18ablfqxm,Cataclysmic
ZTF18ablgnrw,Cataclysmic
ZTF18ablgqyq,Cataclysmic
ZTF18ablgtdi,Cataclysmic
ZTF18ablhvfr,SN Ia
ZTF18abllrvn,Cataclysmic
ZTF18ablmflp,SN Ia
ZTF18ablongw,SN Ia
ZTF18ablovbj,Cataclysmic
ZTF18ablpcfv,Cataclysmic
ZTF18ablpmiy,Cataclysmic
ZTF18ablqehq,SN IIn
ZTF18ablqhqx,SN Ia
ZTF18ablqjul,SN Ia
ZTF18ablqkud,SN Ia
ZTF18ablqlzp,SN Ia
ZTF18ablqqqp,SN Ia
ZTF18ablrlbm,AGN
ZTF18ablrljh,SN Ia
ZTF18ablrlog,Cataclysmic
ZTF18ablsaka,Cataclysmic
ZTF18abltaxf,SN Ia
ZTF18abltdkd,SN Ia
ZTF18abltfho,SN IIn
ZTF18ablusuz,Cataclysmic
ZTF18ablvazp,Cataclysmic
ZTF18ablvxdg,AGN
ZTF18ablvxkh,Cataclysmic
ZTF18ablwhde,Cataclysmic
ZTF18ablwqqf,Cataclysmic
ZTF18ablwrch,Cataclysmic
ZTF18ablwtkf,SN Ia
ZTF18ablwvcy,Cataclysmic
ZTF18abmanuy,Cataclysmic
ZTF18abmbdbg,Cataclysmic
ZTF18abmdoni,Cataclysmic
ZTF18abmdpwe,SN IIP
ZTF18abmeehs,Cataclysmic
ZTF18abmefij,AGN
ZTF18abmfmpk,Cataclysmic
ZTF18abmfpyr,Cataclysmic
ZTF18abmiqsz,Cataclysmic
ZTF18abmiwau,Cataclysmic
ZTF18abmjija,AGN
ZTF18abmjjfu,Cataclysmic
ZTF18abmjvpb,SN Ia
ZTF18abmjvuf,SN Ia
ZTF18abmjyvo,SN Ia
ZTF18abmlyil,Cataclysmic
ZTF18abmmdif,SN Ia
ZTF18abmmkaz,SN Ia
ZTF18abmnrgb,SN Ia
ZTF18abmogag,SN Ia
ZTF18abmoung,SN Ia
ZTF18abmqrwk,Cataclysmic
ZTF18abmrhom,SN Ia
ZTF18abmsaqj,Cataclysmic
ZTF18abmsxzs,Cataclysmic
ZTF18abmwnov,SN Ia
ZTF18abmwszl,AGN
ZTF18abmxahs,SN Ia
ZTF18abmxatl,Cataclysmic
ZTF18abmxdhb,SN Ia
ZTF18abmxfrc,SN Ia
ZTF18abmxmsv,SN Ia
ZTF18abnbldg,Cataclysmic
ZTF18abnbnoa,Cataclysmic
ZTF18abnbxsy,Cataclysmic
ZTF18abncdhd,SN Ia
ZTF18abncimo,SN Ia
ZTF18abnnnzk,AGN
ZTF18abnonwz,SN Ia
ZTF18abnoonq,Cataclysmic
ZTF18abnouoo,Cataclysmic
ZTF18abntsgz,SN Ia
ZTF18abnuark,Cataclysmic
ZTF18abnuexr,SN IIP
ZTF18abnuhuy,AGN
ZTF18abnurff,Cataclysmic
ZTF18abnvuya,Cataclysmic
ZTF18abnxhmc,SN Ia
ZTF18abnygkb,SN Ia
ZTF18abnyktn,Cataclysmic
ZTF18abnytkt,Cataclysmic
ZTF18abnzlai,SN IIP
ZTF18abnzocn,SN Ia
ZTF18aboabxv,SN Ic
ZTF18abobkii,SN Ia
ZTF18abobvym,Cataclysmic
ZTF18aboebsg,SN Ia
ZTF18aboerpp,AGN
ZTF18abojong,Cataclysmic
ZTF18abojpnr,SN IIb
ZTF18abojrnv,Cataclysmic
ZTF18abokhip,Cataclysmic
ZTF18abokpvh,SN Ia
ZTF18abokyfk,SN IIP
ZTF18abolvoh,SN Ia
ZTF18abolvzu,AGN
ZTF18aboqykf,SN Ia
ZTF18aboronz,Cataclysmic
ZTF18aboshoe,Cataclysmic
ZTF18abosrco,SN Ia
ZTF18abotcjv,SN Ia
ZTF18abotdef,SN Ia
ZTF18abotthj,AGN
ZTF18abotzrm,Cataclysmic
ZTF18aboztku,SN Ia
ZTF18abpamut,SN Ia
ZTF18abpaywm,SN Ia
ZTF18abpmmpo,SN Ia
ZTF18abpmwfx,Cataclysmic
ZTF18abpmwlt,Cataclysmic
ZTF18abpttky,SN Ia
ZTF18abptzkg,Cataclysmic
ZTF18abqarng,AGN
ZTF18abqcsdq,Cataclysmic
ZTF18abqdadp,SN Ia
ZTF18abqjurg,SN Ia
ZTF18abqjvyl,SN Ia
ZTF18abqlpgq,SN Ia
ZTF18abquxjv,SN Ia
ZTF18abquyqj,SN Ia
ZTF18abqxaqe,SN Ia
ZTF18abqyaix,SN Ia
ZTF18abqyvzy,SN IIP
ZTF18abrbywo,SN Ia
ZTF18abrcvbu,SN Ia
ZTF18abrebsb,SN Ia
ZTF18abrfccm,SN Ia
ZTF18abrfchj,SN Ic
ZTF18abrlljc,SN IIP
ZTF18abrnttt,Cataclysmic
ZTF18abrqedj,SN Ia
ZTF18abrqfjs,Cataclysmic
ZTF18abrwwzs,Cataclysmic
ZTF18abrxhun,Cataclysmic
ZTF18abrxqag,Cataclysmic
ZTF18abrxrms,Cataclysmic
ZTF18abryqnn,SN Ia
ZTF18abrytwr,SN Ia
ZTF18abrzbtb,SN IIP
ZTF18abrzbum,SN IIP
ZTF18abrzbyt,SN Ia
ZTF18abrzcgl,SN Ia
ZTF18abrzevn,AGN
ZTF18abrzeym,SN Ia
ZTF18absanfq,Cataclysmic
ZTF18absbgqd,SN IIP
ZTF18absclsr,SN IIP
ZTF18abscyji,SN IIP
ZTF18abscyjj,SN IIP
ZTF18absdbvf,SN Ia
ZTF18absdddn,Cataclysmic
ZTF18absdgon,SN Ia
ZTF18absdxpk,SN Ia
ZTF18absekpz,Cataclysmic
ZTF18absewls,AGN
ZTF18absgmhg,AGN
ZTF18absgnbm,SN IIP
ZTF18absgnio,SN Ia
ZTF18absgzlq,Cataclysmic
ZTF18abshmro,SN Ia
ZTF18abshnzy,Cataclysmic
ZTF18abshtdj,SN Ia
ZTF18absibtp,AGN
ZTF18absiejw,Cataclysmic
ZTF18absioqj,Cataclysmic
ZTF18absjiej,Cataclysmic
ZTF18abskbng,Cataclysmic
ZTF18abskove,SN Ia
ZTF18abskoyh,SN IIP
ZTF18abskzjm,SN Ia
ZTF18absldfl,SN IIP
ZTF18absliyc,SN Ic
ZTF18absltuj,AGN
ZTF18absmdtd,Cataclysmic
ZTF18absmoql,Cataclysmic
ZTF18absnibc,Cataclysmic
ZTF18absnqyo,SN Ia
ZTF18absoomk,SN Ia
ZTF18abspqsn,SN Ia
ZTF18absqhza,SN Ia
ZTF18absqkfg,AGN
ZTF18absrffm,Cataclysmic
ZTF18absrlhv,AGN
ZTF18abssoen,Cataclysmic
ZTF18absspcp,SN Ia
ZTF18absstyb,SN Ia
ZTF18abssuxz,SN Ia
ZTF18absunxx,Cataclysmic
ZTF18absxczg,Cataclysmic
ZTF18absyyig,SN Ia
ZTF18abtcikd,AGN
ZTF18abtfrbf,SN Ia
ZTF18abtfvsk,SN Ia
ZTF18abtgkdo,SN Ia
ZTF18abtgnxs,AGN
ZTF18abthqde,Cataclysmic
ZTF18abthvpk,Cataclysmic
ZTF18abtizrj,Cataclysmic
ZTF18abtjakn,Cataclysmic
ZTF18abtkqkb,SN Ia
ZTF18abtlwvs,AGN
ZTF18abtmbaz,SN Ia
ZTF18abtmeds,AGN
ZTF18abtmhfz,Cataclysmic
ZTF18abtmtfy,SN Ia
ZTF18abtnfmp,AGN
ZTF18abtnlik,SN Ia
ZTF18abtogdl,SN Ia
ZTF18abtokcw,Cataclysmic
ZTF18abtoued,AGN
ZTF18abtqevs,SN Ia
ZTF18abtrknw,SN IIP
ZTF18abtrowl,AGN
ZTF18abtrvkm,SN Ia
ZTF18abtrvrj,Cataclysmic
ZTF18abtslka,AGN
